alarm_delay_min,evacuated,evacuation_rate,average_exposure,maximum_exposure,high_critical_risk_population,exposure_reduction_vs_40min_%,risk_reduction_vs_40min_%
0,1000,100.0,0.002434112795571021,0.030955115048386248,226,87.19402516109787,70.95115681233933
10,1000,100.0,0.006099696133602445,0.04191921582553394,376,67.90922945149013,51.670951156812336
20,1000,100.0,0.010072764668073542,0.05095800349341306,496,47.006740553585594,36.246786632390744
30,1000,100.0,0.014395639431793263,0.05921931274578585,641,24.263905646079547,17.60925449871465
40,1000,100.0,0.019007633750588403,0.06703236306756483,778,0.0,0.0
